Site_Num,STAID,STANAME,Q_Avg,Q100,Q710,record_length,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,LAT_CENT,DRAIN_SQKM,LAT_GAGE,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAX_SITE,RH_BASIN,RH_SITE,FST32F_BASIN,LST32F_BASIN,FST32SITE,LST32SITE,WD_BASIN,WD_SITE,WDMAX_BASIN,WDMIN_BASIN,WDMAX_SITE,WDMIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,FLOWYRS_1900_2009,FLOWYRS_1950_2009,STREAMS_KM_SQ_KM,MAINSTEM_SINUOUSITY,BFI_AVE,PERDUN,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,FRESHW_WITHDRAWAL,FRAGUN_BASIN,FORESTNLCD06,DECIDNLCD06,PDEN_2000_BLOCK,NUTR_ECO_SITE,ECO2_BAS_DOM,ECO3_BAS_DOM,ECO3_BAS_PCT,HLR_BAS_PCT_100M,PNV_BAS_DOM,PNV_BAS_PCT,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MEDIAN_M_BASIN,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES
29,1325000,SACANDAGA RIVER AT STEWARTS BRIDGE NR HADLEY NY,2171.696391,30143.6,6.78099556,110,10,1.39,43.336839,2776.7,43.31146,127.25,114.03,5.74,7.3,11.78,13.1,65.8,67,268.3,143.4,278,129,139.9,127,13.7,10.3,13,9,544.5,35.8,0.021,10.99,8.17,10.79,10.19,11.05,10.84,10.43,11,11.64,10.28,11.59,10.49,4.97,11.72,16.4,18.87,17.94,13.86,7.87,102,60,0.68,2.54,46.7,2.6,11.41,128.8,754.3,17.7,9.2,16.5,89.2,150.5,109.4,62.3,39.6,39.7,50.2,64.3,35,683.6,5.2,14.2,79.03,49.4,8.68,8,5.3,58,90.1,86.1,51,63.5,0.14,3.07,1.34,2.28,4.18,45.61,80.65,40.29,73.38,5.82,49.04,45.14,0.21,107.14,490,1084,505,0.347,0.363,11.9,180.4
30,1327750,HUDSON RIVER AT FORT EDWARD NY,5431.806826,73915.5,1263.651203,43,17,1.06,43.59418,7334.2,43.269517,120.65,96.77,5.48,7.5,11.6,14,65.8,68,264.8,146.6,272,128,138.1,112,13.5,10,11,8,538.5,36,0.044,10,7.37,9.82,9.52,10.59,10.39,10.48,11.02,11.21,9.99,10.89,9.41,4.54,11.34,16.13,18.57,17.6,13.49,7.49,39,32,0.6,1.85,49.4,2.6,11.35,74.4,697.5,15.9,8.3,13.9,80.3,141.3,102.6,58.9,38.2,37.7,47.6,59.4,31.5,635.6,4.2,13.1,80.37,44.06,10.64,7,5.3,58,94.9,88,51,57,0.14,3.19,1.33,2.17,4.24,44.83,80.71,40.34,73.55,5.84,48.98,45.18,0.22,96.94,498.8,1622,508,0.294,0.3,13.2,122.7
31,1328000,BOND CREEK AT DUNHAM BASIN NY,17.81424233,1208.7,0.403903017,36,9,1.82,43.340017,37.9,43.306184,98.26,97.89,7.38,7.5,13.58,13.9,68.7,68,272.9,128.2,272,129,111.6,108,10.8,7.8,10,7,612,27.1,0.073,7.88,5.36,7.68,7.55,9.66,8.85,9.26,9.41,8.81,8.14,8.33,7.29,7.59,13.93,18.89,21.41,20.35,15.81,9.63,35,33,0.4,1.41,47.1,2.5,12.17,499.2,680.3,11.1,7.6,32.2,91,66,37.5,21.7,13,10.1,14.8,25.8,20.1,351,5.7,78.4,14.79,8.64,60.21,7,8.1,83,100,97.4,50,94.5,0.15,1.85,1.32,3.81,2.23,45.21,90.38,71.04,87.83,40.15,39.95,19.9,0.4,80.9,90.4,122,92,0.6,0.62,1.9,119.7
32,1329490,BATTEN KILL BELOW MILL AT BATTENVILLE NY,733.6425589,21191.6,75.59015937,81,12,1.61,43.161258,1026.6,43.108687,125.77,106.52,7.03,7.9,12.62,14.2,66.5,66,263.8,142.4,264,138,126.1,111,12.1,8.7,11,7,580.5,32,0.061,9.89,7.63,10.08,9.85,11.64,11.46,11.86,12.07,10.54,10.6,10.75,9.52,5.67,11.96,16.81,19.31,18.23,14.04,8.28,57,30,0.4,1.9,48,2.4,11.22,61,712.2,18.8,10.5,23.8,94.2,125.8,95.3,60,42.6,40.7,49.9,62.1,36.5,660.1,5.1,32.7,71.52,54.69,15.14,7,8.1,83,51.3,69,50,80.1,0.14,3.09,1.4,1.53,4.27,48.31,75.24,46.57,69.41,11.92,55.15,32.93,0.29,108.52,390.8,1171,304,0.265,0.183,15.9,248.2
33,1329500,BATTEN KILL AT BATTENVILLE NY,694.7540829,21958.5,75.86064381,67,12,1.38,43.160753,1047,43.101465,126.11,107.07,7.02,7.9,12.6,14.1,66.5,66,263.9,142.4,265,136,126.2,111,12.1,8.7,11,7,580,32.1,0.061,9.92,7.65,10.1,9.88,11.67,11.49,11.88,12.11,10.56,10.63,10.77,9.55,5.65,11.94,16.78,19.28,18.2,14.01,8.26,51,24,0.41,1.87,48,2.4,11.17,60.8,710.2,18.9,10.5,23.6,94.1,126.7,96.5,60.7,43.2,41.2,50.5,62.5,36.6,665.1,5.3,32.4,71.95,55,15.19,7,8.1,83,50.4,68.1,50,80.4,0.14,3.12,1.4,1.51,4.28,48.35,75.4,46.51,69.56,11.83,55,33.16,0.29,108.8,393.6,1171,307,0.268,0.186,16.1,245.3
34,1330000,GLOWEGEE CREEK AT WEST MILTON NY,38.75409379,1921.5,1.474551004,42,10,2.08,43.037586,63.8,43.03063,115.36,111.03,7.41,8,13.4,14.1,67.9,67,272.4,131.8,271,131,126.3,123,12,9,12,9,604.8,30.1,0.039,9.28,7.01,9.5,9.73,10.81,10.55,9.5,10.13,10.45,9.28,10.24,9.04,6.88,13.37,18.27,20.79,19.71,15.33,9.22,33,32,0.45,1.75,44.6,3,11.77,592.3,717.8,15.7,9.5,32.3,110.6,103.3,59.5,33.8,21.3,20,26.4,44.5,29.9,506.9,12.5,36.2,55.57,18.7,31.92,7,8.1,83,57.3,97.4,50,99.8,0.11,1.83,1.51,1.11,2.62,54.9,74.04,42.46,69.21,11.83,49.65,38.51,0.26,98.07,236.6,397,243,0.415,0.438,4.5,100
35,1330500,KAYADEROSSERAS CREEK NR WEST MILTON NY,137.4936238,4782.1,17.89913448,70,10,1.49,43.100865,219.9,43.038408,115.82,110.77,7.39,8,13.31,14.2,67.6,67,272,132.4,271,131,125.6,123,12.1,9,12,9,603.3,30.2,0.041,9.32,6.99,9.62,9.72,10.83,10.49,9.76,10.39,10.36,9.27,10.24,9.03,6.85,13.34,18.18,20.69,19.65,15.28,9.19,67,45,0.57,1.91,46.8,3,11.63,506,716,15.4,9.4,32.3,108.8,101.9,59.6,34,21.2,19.6,26,43.7,29.1,500.9,12.5,28.1,61.68,24.19,41.65,7,5.3,58,79.2,56,50,97.6,0.11,4.75,1.46,1.21,4.24,52.11,76.91,38.68,71.3,7.89,46.39,45.72,0.23,97.59,249.9,605,229,0.275,0.233,5.5,112.5
36,1331095,HUDSON RIVER AT STILLWATER NY,6919.348819,88038.1,1955.867522,42,16,0.75,43.477193,9784.7,42.935632,118.91,95.84,6.01,8.4,12.06,14.5,66.1,68,265.5,143.8,275,126,133.7,118,13,9.5,11,8,556,34.5,0.049,9.69,7.18,9.62,9.42,10.63,10.44,10.49,11.03,10.84,9.85,10.6,9.16,5.1,11.78,16.6,19.06,18.06,13.89,7.89,32,32,0.56,1.69,49.2,2.5,11.43,132.8,700.6,16,8.7,18.1,84.6,130.6,93.6,54.3,35.6,34.7,43.9,56.2,31.2,607.6,5.2,21.8,72.49,41.46,20.68,7,5.3,58,78.1,75.1,51,42.7,0.14,3.36,1.35,2.02,4.12,46.39,80.5,42.16,73.94,7.8,49.41,42.79,0.23,97.62,433.4,1550,446,0.27,0.278,12.2,141.7
37,1333500,LITTLE HOOSIC RIVER AT PETERSBURG NY,95.04817648,6666.4,2.860445224,67,7,2.25,42.701352,140.9,42.763968,117.04,107.73,6.87,7.4,12.51,13.3,69.1,69,269.8,135.3,273,131,134.6,133,12.4,9.6,13,10,571.4,29.9,0.094,8.47,6.78,8.63,9.44,11.37,11.22,11.01,11.75,10.59,9.73,10.06,7.78,5.93,12.25,16.96,19.47,18.52,14.24,8.59,45,45,0.44,1.31,47,1.4,10.69,58.2,713.3,19.8,11.6,28.7,106.1,115,70.3,42.7,30.4,32.6,41,60,38.1,596.3,21.4,23,85.82,67.75,13.62,8,5.3,58,100,46.6,50,94.7,0.11,3.04,1.38,1.27,4.78,38.64,66.2,42.11,59.82,11.7,59.6,28.7,0.24,105.94,436.2,850,417,0.386,0.358,19.5,267.7
38,1334500,HOOSIC RIVER NEAR EAGLE BRIDGE NY,975.7658357,45428,97.60960035,106,18,1.54,42.772923,1324.3,42.938689,119.89,96.12,6.89,8,12.45,13.9,67.9,67,268.1,137.1,271,131,131.5,125,12.3,9.5,12,9,573.8,30.3,0.09,8.74,6.88,8.87,9.78,11.48,11.61,11.61,11.74,10.51,10.11,10.25,8.42,5.66,11.99,16.78,19.29,18.31,14.06,8.35,97,60,0.42,1.51,48.1,1.6,10.65,51.4,713.9,19.7,11.2,26,100.2,119.4,80.3,49.1,34.8,36,45.3,61.9,37.8,621.9,13.2,31.7,74.68,57.58,52.68,7,5.3,58,80,57.5,50,84.6,0.13,2.9,1.41,1.48,4.48,45.26,74.72,44.38,68.39,9.2,56.37,34.43,0.27,109.8,430.1,1139,391,0.312,0.274,15.4,233.9
39,1335754,HUDSON R ABOVE LOCK 1 NR WATERFORD NY,7876.902829,105423,1275.422571,106,19,0.78,43.360633,11970.2,42.829244,117.89,95.71,6.25,8.7,12.22,14.6,66.4,69,266.4,141.9,281,119,132.7,118,12.9,9.5,12,8,563,33.4,0.056,9.41,7.03,9.39,9.39,10.68,10.54,10.57,11.07,10.69,9.79,10.44,8.95,5.31,11.93,16.75,19.23,18.22,14.03,8.05,90,40,0.54,1.66,49.1,2.4,11.35,132.9,703.5,16.4,9.1,20.2,86.7,125,88.4,51.6,34.1,33.5,42.4,55.2,31.6,594.2,6.7,25.6,70.5,42.28,28.15,7,5.3,58,73.1,70.1,50,41.5,0.14,3.35,1.36,1.92,4.11,46.63,79.61,42.74,73.14,8.27,50.56,41.18,0.24,98.65,414.4,1622,414,0.255,0.254,12.2,168.5
40,1336000,MOHAWK RIVER BELOW DELTA DAM NEAR ROME NY,378.5690534,8346.4,108.4725034,90,10,1.43,43.371166,386.4,43.264514,134.75,116.94,5.99,7.5,11.92,13.3,64.8,65,271.3,134.6,277,129,166,158,18.2,10.3,18,10,557.8,35.3,0.046,11.46,8.9,10.61,10.26,10.86,11.24,10.35,11.15,13.95,10.76,12.76,12.25,5.71,12.26,17.08,19.64,18.76,14.58,8.53,82,60,0.95,2.29,57.8,2.6,11.37,157,785,20.6,10.8,20.3,100.4,156.4,110.7,63.9,39.7,44.8,54.5,72.1,40.8,735.1,13.6,34.8,58.4,45.28,16.48,7,8.1,83,74.4,63.8,50,91.2,0.12,2.34,1.44,1.16,3.61,56.66,72.53,41.56,67.85,13.08,48.1,38.82,0.24,117.71,355,550,364,0.524,0.546,6.2,197.4
41,1346000,WEST CANADA CREEK AT KAST BRIDGE NY,1376.077136,24360.4,253.4958798,98,11,0.76,43.345313,1439.4,43.068959,135.46,111.41,4.97,8,11.33,13.9,64.3,64,262.7,146.6,274,132,158.6,145,16.4,11,14,10,520.7,36,0.058,10.66,8.41,10.33,10.37,11.52,11.96,11.4,12.24,14.11,10.9,12.37,11.47,4.79,11.43,16.16,18.67,17.76,13.67,7.71,90,60,0.86,1.73,54.4,2.8,11.35,131.5,785.3,19.1,9.7,14.1,84.4,152.7,127.8,77.8,51,53.8,61.5,70.9,37.7,760.5,3.8,25.1,64.4,44.63,8.57,7,5.3,58,59.5,57,50,52.6,0.14,4.35,1.35,2.13,3.81,49.13,78.51,41.53,72.82,9.26,47.69,43.06,0.3,113.41,500.4,1095,470,0.382,0.35,7.7,226.8
42,1347000,MOHAWK RIVER NEAR LITTLE FALLS NY,2896.084497,34887.4,612.1716999,94,18,0.61,43.212699,3450.5,43.014793,125.34,108.43,6.27,8.5,12.19,14.3,64.5,64,268.7,139.2,277,129,155.2,139,16.2,10.5,14,10,564.2,32.8,0.059,9.51,7.67,9.59,9.79,10.71,11.33,10.81,11.04,13.03,10.01,11.55,10.45,5.77,12.3,17.16,19.68,18.77,14.63,8.59,82,60,0.87,1.62,54.2,2.7,11.38,210.1,777.3,18.5,10.2,20.9,93.3,127.8,93.4,55.7,35.8,38.2,46.1,61,35.7,636.4,7.8,44.6,48.49,35.43,66.66,7,8.1,83,71.7,36.2,50,78.9,0.13,3.14,1.41,1.76,3.43,52.54,74.72,45.31,69.67,14.19,50.56,35.25,0.3,104.17,380.1,1095,371,0.287,0.278,6.5,242.4
43,1348000,EAST CANADA CREEK AT EAST CREEK NY,691.1342719,26051.1,17.29683372,68,13,1.17,43.195594,756.5,43.016738,131.41,108.03,5.61,8.4,11.44,14.2,65.4,65,264.2,143.1,276,129,148.5,139,14.8,10.7,14,10,540.5,34.2,0.062,9.93,8.19,9.81,10.37,11.29,12.12,11.25,11.95,13.73,10.25,11.71,10.87,5.05,11.64,16.4,18.94,18.03,13.93,7.97,49,46,0.87,1.42,48.1,2.8,11.35,101.8,784.7,17.4,9,14.8,89.7,149.4,107.5,63.2,40.8,42.3,51.6,63.8,34.4,684.2,5.1,17.8,62.31,38.36,8.12,7,5.3,58,82,62,50,57.7,0.14,3.55,1.38,3.48,3.58,49.77,80.49,42.24,74.45,8.27,48.48,43.25,0.29,109.61,472,842,480,0.5,0.511,7.2,196.8
44,1349000,OTSQUAGO CREEK AT FORT PLAIN NY,85.43358754,19613.7,2.579054523,44,9,1.68,42.919003,157.7,42.929517,108.04,97.94,7.99,8.3,13.25,14.3,66.6,67,274,131.1,275,129,140.1,137,13.7,10,13,10,620.6,28.6,0.086,7.3,6.23,8.26,8.95,9.72,10.73,10.53,9.73,10.3,8.49,9.47,8.04,6.82,13.29,18.3,20.79,19.8,15.65,9.5,40,40,0.96,1.27,40.3,2.7,11.31,274.6,778.3,15.7,10.1,30.1,99.7,89.3,52.6,30.5,19.8,18.8,24.5,40.2,28.2,459.4,9.8,77.5,23.75,17.59,17.04,7,8.1,83,100,92.6,50,99.4,0.14,0.99,1.47,1.94,2.32,52.33,75.06,55.08,70.48,22.64,55.07,22.29,0.33,93.02,277,538,246,0.415,0.345,5.8,35
45,1349150,CANAJOHARIE CREEK NR CANAJOHARIE NY,92.05656789,5791.2,0.950090285,25,11,2.03,42.835947,154.8,42.876184,106.23,102,7.61,8.4,13.04,13.8,67.6,67,272.1,132.8,276,128,138.8,137,13,10,13,10,604,28.7,0.086,7.15,6.17,8.33,8.9,9.72,10.54,10.33,9.56,9.88,8.24,9.05,7.79,6.64,13.08,18.09,20.54,19.53,15.37,9.3,16,16,0.78,1.91,37.2,2.5,11.46,387.8,776.7,16.7,10.5,30,101.6,97.6,58,33.6,21.6,21.3,27.7,44.2,30.5,493.5,31,80.7,27.38,21.57,14.24,7,8.1,83,100,73.3,50,94.5,0.15,0.73,1.42,2.42,1.79,52.34,81.01,63.27,77.32,28.37,53.18,18.45,0.38,95.02,313,641,290,0.274,0.223,6.5,3.1
46,1349700,EAST KILL NR JEWETT CENTER NY,81.75823064,29138.1,1.316061844,33,8,1.96,42.254245,92.7,42.249253,124.72,110.41,5.65,5.9,11.95,12.9,67.7,67,266.2,142.8,267,140,122.8,118,11.8,8.8,11,8,523,34.6,0.032,9.71,7.05,10.63,11.21,11.79,10.91,10.22,9.76,11.22,11.03,11.61,9.36,4.7,10.94,15.52,18.14,17.03,13.14,7.51,12,12,0.25,1.26,40.3,3,10.69,60.4,473.3,19.7,10.7,18.3,91.3,143.9,108.9,63,40.4,42.9,54,67.3,37.6,698,4.3,15.9,88.8,66.39,7.53,8,5.3,58,100,100,50,67.1,0.11,1.24,1.35,1.34,4,44.06,58.01,36.97,51.59,12.81,59.17,28.02,0.23,104.92,671.9,1209,632,0.301,0.249,15,193
47,1349711,WEST KILL BELOW HUNTER BROOK NEAR SPRUCETON NY,14.87620548,6272.3,0.561044891,20,2,3.47,42.180675,12.7,42.185088,147.1,132.11,4.84,4.9,10.26,10.9,69.4,69,264.6,145.3,265,145,127.2,127,12,9,12,9,492.6,35.8,0.036,12.14,9.6,12.26,11.98,13.63,12.71,13.2,12.71,12.61,12.31,13.45,10.56,3.54,9.94,14.26,16.83,16.01,12.06,6.42,12,12,0.31,1.06,43,2,8.72,21.1,466.5,23,12,16.4,90.2,166.9,153,95.1,62.4,64.3,75,83.6,44.9,886.7,4.3,5.3,99.72,69.25,1.7,8,5.3,58,100,99.5,50,86.7,0.1,1.28,1.38,0.69,5.41,30.04,54.43,34.82,46.95,14.69,59.75,25.56,0.22,130.9,898.5,1229,892,0.453,0.442,32.5,257.8
48,1349810,WEST KILL NEAR WEST KILL NY,71.7684884,19572.9,1.883990003,21,10,2.36,42.196916,73.7,42.230365,127.31,109.35,5.25,5.8,11.18,12.9,68.6,68,265.5,142.7,266,140,123.2,118,11.6,8.9,11,8,508.2,33.9,0.048,9.9,8.01,10.51,10.78,12.18,11.51,11.17,11,11.5,10.56,11.23,9.27,4.37,10.72,15.22,17.79,16.87,12.92,7.26,12,12,0.29,1.17,43.2,2.1,10.02,24.9,471.8,20.6,10.9,17.4,88.7,150.1,119.7,72.9,47.8,50.8,61.6,71.8,39.8,752.3,4.3,9.6,95.64,75.76,2.97,8,5.3,58,100,99.7,50,61.9,0.11,1.41,1.36,0.86,4.86,38.02,57.84,36.31,50.7,13.67,58.52,27.81,0.22,119.94,741.2,1229,723,0.397,0.375,26.7,331.1
49,1349950,BATAVIA KILL AT RED FALLS NEAR PRATTSVILLE NY,135.0378991,76965.4,2.439398647,21,16,2.5,42.31569,177.9,42.308418,112.39,102.45,5.88,6.2,12.15,13.3,67.8,68,266.8,141.8,268,139,125,119,12,9,12,9,531.6,32.8,0.057,8.3,6.57,9.11,9.92,10.58,10.51,9.58,9.71,10.36,9.71,9.82,8.23,4.84,11.07,15.73,18.31,17.22,13.32,7.65,12,12,0.34,1.38,38.1,2.2,10.71,77.5,473,17.1,9.4,17.7,87.9,126.8,86.2,49.2,31.8,34.7,43.9,55.9,32.2,592.8,5.2,21.6,83.69,60.62,12.77,8,5.3,58,100,100,50,67.8,0.1,1.56,1.36,1.19,4.25,43.29,57.96,36.28,51.22,13.26,57.98,28.76,0.23,97.32,630,1209,602,0.296,0.262,15.8,189.7
50,1350000,SCHOHARIE CREEK AT PRATTSVILLE NY,478.1815187,77537.4,8.848217493,109,17,2.8,42.256596,612.5,42.319528,119.04,101.06,5.66,6,11.95,13.5,68,67,266.4,142.1,268,138,122.5,120,11.7,8.8,11,8,523.1,33.4,0.049,8.93,7.05,9.82,10.4,11.29,10.79,10.24,9.98,10.83,10.24,10.67,8.74,4.78,11.04,15.68,18.26,17.2,13.3,7.63,102,60,0.31,1.33,40.2,2.4,10.56,51.9,472.7,19,10.4,18.6,90.2,137.8,102.4,60.3,39.1,41.8,52.1,63.9,36.3,671.9,5.3,17.6,86.88,61.24,9.96,8,5.3,58,100,99.9,50,71.7,0.1,1.59,1.37,1.09,4.4,42.72,58.3,36.33,51.41,13.36,57.77,28.87,0.23,105.84,652,1229,616,0.348,0.307,18.4,190.2
51,1350080,MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY,51.35898828,7838.6,1.45861391,31,12,2.98,42.397341,83.8,42.377026,101.86,100.63,6.03,6.3,12.25,13.1,67.7,68,267.3,140.4,269,137,125,120,12,9,11,8,539.8,30.8,0.085,6.66,5.93,7.98,8.72,9.79,9.83,9.38,9.36,9.38,8.65,9.09,7.04,4.99,11.24,16.07,18.59,17.54,13.62,7.91,23,23,0.26,1.21,35.8,2.3,10.52,79.4,473,15.3,8.6,18.1,85.4,110.9,68.4,39.7,26.1,29.1,37.2,48.1,28.4,515.2,98.3,25.5,81.05,44.37,7.09,8,5.3,58,100,99.5,50,74.1,0.11,1.54,1.39,1.16,3.97,46.36,61.73,37.98,54.61,14.14,55.67,30.19,0.24,88.9,591.7,1044,581,0.307,0.291,12.1,241.3
52,1350101,SCHOHARIE CREEK AT GILBOA NY,770.2743139,36239.9,4.060592894,45,19,2.11,42.287532,817.1,42.397303,114.84,95.16,5.77,6.8,12.04,13.9,67.9,67,266.5,141.7,269,137,123.1,119,11.7,8.9,11,9,527.9,32.5,0.058,8.39,6.75,9.35,10.01,10.99,10.5,10.07,9.8,10.54,9.86,10.22,8.33,4.9,11.16,15.87,18.42,17.38,13.47,7.78,9,9,0.31,1.37,39.3,2.5,10.57,57.6,473.1,18.2,10,19,89.7,129.9,93.1,54.9,35.7,38.3,48.1,59.6,34.5,630.8,33.3,21.3,83.65,56.38,9.93,8,5.3,58,100,99.1,50,73.3,0.11,1.51,1.37,1.13,4.28,43.9,59.47,37.39,52.64,13.78,57.52,28.7,0.24,101.97,630.4,1229,598,0.363,0.328,17.3,186.1
53,1350120,PLATTER KILL AT GILBOA NY,14.53801258,2204.4,1.067118175,42,12,2.54,42.435852,29.5,42.406191,103.28,95.56,6.4,6.7,12.31,13.6,68,67,268.3,138.8,269,137,122.7,120,11.9,8.9,11,9,556.3,29.5,0.09,6.85,5.82,7.96,9.16,10.08,9.98,9.91,9.24,9.65,8.75,8.96,7.18,5.21,11.47,16.31,18.81,17.83,13.88,8.16,34,34,0.51,1.2,35.5,2.6,10.83,134.7,474,14,8.1,19.3,85.5,97.9,58.1,33.8,22.2,24.6,31.8,42.4,25.8,463.5,99.9,37.4,70.37,33.04,5.94,8,5.3,58,100,99.7,50,59,0.11,1.21,1.32,1.74,3.19,52.41,62.61,40.29,56.75,12.25,58.52,29.23,0.25,87.35,563.8,795,577,0.512,0.54,9.2,204.5
54,1350140,MINE KILL NEAR NORTH BLENHEIM NY,25.94222573,3264.2,0.19239749,43,15,2.08,42.446563,43.8,42.428968,105.25,96.2,6.12,6.8,12.18,13.7,67.9,67,265.6,141.1,269,137,130.7,120,12.4,9.7,12,9,546.3,27.5,0.093,7.1,5.77,8.03,9.17,10.48,10.22,10.18,9.29,10.05,8.87,9.05,7.39,5.47,11.68,16.62,19.08,18.15,14.26,8.55,34,34,0.26,1.14,36.2,3,10.56,80.1,476.2,16.8,9.7,25.2,95,96,57,35.2,23,25.8,35.2,46.2,31,496.1,99.9,30.1,79.26,45.39,8.58,8,5.3,58,100,100,50,77.6,0.12,1.25,1.33,1.64,4.44,39.65,66.17,42.68,57.65,13.89,60.02,26.09,0.25,92.68,572.4,850,583,0.474,0.494,11.8,104.2
55,1350180,SCHOHARIE CREEK AT NORTH BLENHEIM NY,444.2433402,81381.5,0.95805502,47,20,2.29,42.305369,928.5,42.465911,113.32,93.47,5.84,6.8,12.1,14.1,67.9,68,266.5,141.4,269,137,123.4,122,11.8,8.9,12,9,531.1,31.9,0.062,8.19,6.62,9.16,9.89,10.9,10.43,10.05,9.72,10.43,9.72,10.04,8.17,4.98,11.24,15.98,18.52,17.49,13.58,7.88,38,38,0.31,1.38,38.9,2.5,10.54,64.8,473.3,17.8,9.9,19.5,89.8,125.4,88.5,52.2,33.9,36.5,46.1,57.5,33.7,610.9,41.3,22.6,82.51,53.79,9.6,8,5.3,58,100,98.8,50,72.3,0.11,1.48,1.37,1.2,4.19,44.38,60.67,38.59,53.9,14.08,57.56,28.37,0.24,100.43,617.2,1229,592,0.38,0.354,16.7,176.7
56,1350355,SCHOHARIE CREEK AT BREAKABEEN NY,604.4632799,128743.9,7.331653002,42,20,1.88,42.345088,1153.1,42.537021,111.38,93.75,5.97,7.2,12.19,13.9,67.8,67,266.8,141,272,134,124.2,119,11.8,9,12,9,536.3,31.3,0.068,7.93,6.44,8.93,9.71,10.75,10.41,10.04,9.63,10.27,9.55,9.79,7.97,5.08,11.34,16.12,18.65,17.62,13.71,7.99,34,34,0.38,1.48,38.3,2.6,10.48,65.8,473.6,17.5,9.8,20.4,90.4,120.4,83,49.1,31.9,34.5,44,55.5,33,589.6,52.6,22.9,81.61,51.59,9.19,8,5.3,58,100,99,50,74.2,0.11,1.49,1.36,1.32,4.16,43.83,62.06,39.75,55.06,14.31,57.77,27.91,0.25,98.57,600.2,1229,587,0.383,0.37,15.9,170.8
57,1358000,HUDSON RIVER AT GREEN ISLAND NY,14518.49918,189098.9,2736.63279,73,20,0.58,43.184428,20981.1,42.7523,116.98,96.19,6.44,8.8,12.37,14.8,66.4,69,268.1,139.5,285,115,136.2,117,13.4,9.7,12,8,568.6,32.4,0.059,9.01,6.99,9.23,9.41,10.55,10.68,10.47,10.74,10.98,9.6,10.39,9,5.61,12.16,17.01,19.51,18.51,14.34,8.35,60,57,0.64,1.63,47.6,2.5,11.31,165.3,701.6,16.5,9.4,21.9,89.7,119.1,82.9,48.5,31.7,31.7,40,53.2,31.5,576,16.7,34.4,61.86,38.22,43.88,7,5.3,58,58.5,57.2,50,59.6,0.13,3.01,1.38,1.91,3.74,48.15,77.32,44.73,71.38,11.64,51.38,36.98,0.27,99.31,398.2,1622,385,0.246,0.237,10.3,199.2
58,1359750,MOORDENER KILL AT CASTLETON-ON-HUDSON NY,38.41457871,1267.3,2.391226305,39,12,1.43,42.583139,82.5,42.53397,103.71,99.02,8.25,8.6,14.08,14.6,69.1,68,275.7,125.8,275,126,121.6,117,12,8.8,12,8,630,25.6,0.103,6.97,5.6,7.64,8.84,10.4,10.32,9.82,10.33,9.11,8.64,8.83,7.21,7.49,13.79,18.69,21.27,20.3,15.82,9.65,37,37,0.44,1.37,44.3,2,11.6,396.8,389,16.1,12.3,39.3,89.3,66.7,40.8,24.5,16.2,14.8,20.4,33,27.4,400.6,21.5,62.2,46.97,33.98,72.25,7,8.1,83,100,58.8,50,100,0.11,4.4,1.48,0.93,3.52,51.27,69.87,41.2,63,7.71,58.94,33.34,0.23,98.76,150.3,272,153,0.489,0.5,5,234.4
